Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2024

·Summary:ANNUAL

·Fishing Year: CALENDAR YEAR (JANUARY 1 - DECEMBER 31)

·Geographic Area: NORTH AND MID-ATLANTIC

·Species: ATLANTIC MACKEREL                                                                                                                                                                                       

·Fishing Mode: ALL MODES COMBINED

·Fishing Area: ALL AREAS COMBINED

·Type of Catch: ALL CATCH TYPES (TYPE A, B1, and B2)

Information:

·NUMBERS OF FISH

MRIP does not support the use of estimates with a percent standard error above 50 and in those instances, recommends considering higher levels of aggregation (e.g., across states, geographic regions, or fishing modes).

Results from 1981-2017 contain estimates resulting from the full application of both the Access Point Angler Intercept Survey (APAIS) and Fishing Effort Survey (FES) calibration.

As of 2018 wave 1, all estimates of shore and private/rental boat fishing effort are now based on the FES.

MRIP estimates for Louisiana are not available after 2013. State produced estimates are available through the MRIP National Query. For more information on state run surveys and estimates, please click <a href='http://www.wlf.louisiana.gov/lacreel' target='_blank'>here</a>.

Estimates for Hawaii (prior to 2023) and Puerto Rico (prior to 2014) are based on Marine Recreational Fisheries Statistics Survey methodology and have not been calibrated.

Beginning in 2023, estimates for Hawaii are produced using certified MRIP survey designs and weighted estimation methods.

As part of the government's guidelines for statistical programs, the Office of Management and Budget requires federal agencies to establish their own criteria for statistical precision (Standard 4.1.5 in OMB Standards and Guidelines for Statistical Surveys)

Upper and lower confidence limits are calculated using a standard 95% confidence interval. The lower 95% confidence interval is truncated at 0 to match graph output.

<a href='https://www.fisheries.noaa.gov/recreational-fishing-data/recreational-fishing-data-glossary#percent-standard-error-(pse)' target='_blank'><b>PSE</b></a>, or percent standard error, is automatically included in all outputs. The higher an estimate's Percent Standard Error, or PSE, the larger the margin of error around the estimate, which means there is more uncertainty in the estimate.

Estimates with a percent standard error exceeding 50 are not statistically different from zero using a standard 95% confidence interval.  Note this significance comparison is not suggesting these estimates all equal zero, but is rather intended to illustrate their high uncertainty.

"Estimate Status","Year","Fishing Year","Common Name","Cumulative Through","PSE Observed Harvest (A)","Does Observed Harvest (A) Meet MRIP Standard","Is Observed Harvest (A) Significantly Different From 0","Observed Harvest (A)","Observed Harvest (A) Lower 95% Confidence Limit","Observed Harvest (A) Upper 95% Confidence Limit","PSE Reported Harvest (B1)","Does Reported Harvest (B1) Meet MRIP Standard","Is Reported Harvest (B1) Significantly Different From 0","Reported Harvest (B1)","Reported Harvest (B1) Lower 95% Confidence Limit","Reported Harvest (B1) Upper 95% Confidence Limit","PSE Released Alive (B2)","Does Released Alive (B2) Meet MRIP Standard","Is Released Alive (B2) Significantly Different From 0","Released Alive (B2)","Released Alive (B2) Lower 95% Confidence Limit","Released Alive (B2) Upper 95% Confidence Limit","** Contribution of Imputed Data to Observed Harvest Rate","** Contribution of Imputed Data to Reported Harvest Rate","** Contribution of Imputed Data to Released Alive Rate"
"FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",26.6,"YES","YES",3626147,1735619,5516675,18.9,"YES","YES",1170545,736928,1604162,28.7,"YES","YES",355584,155561,555608,"0%","0%","0%"
"FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",20,"YES","YES",6313663,3838707,8788619,23.9,"YES","YES",1432174,761286,2103061,20.8,"YES","YES",634507,375831,893183,"0%","0%","0%"
"FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",29.4,"YES","YES",2083534,882919,3284150,31.4,"CAUTION","YES",1177184,452698,1901669,44.8,"CAUTION","YES",1377951,168000,2587903,"0%","0%","0%"
"FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",21.8,"YES","YES",3394284,1943974,4844594,23.2,"YES","YES",2061032,1123840,2998225,23.8,"YES","YES",541838,289081,794594,"0%","0%","0%"
"FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",19.5,"YES","YES",3805810,2351230,5260391,18.2,"YES","YES",2516476,1618798,3414153,23.1,"YES","YES",1188416,650349,1726484,"0%","0%","0%"
"FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",24.9,"YES","YES",1649354,844403,2454305,19.9,"YES","YES",2223919,1356502,3091336,24.5,"YES","YES",439437,228420,650455,"0%","0%","0%"
"FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",18.3,"YES","YES",2696076,1729048,3663105,24.7,"YES","YES",4557155,2350945,6763365,23.4,"YES","YES",820809,444353,1197264,"0%","0%","0%"
"FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",19.9,"YES","YES",5176059,3157189,7194929,15.2,"YES","YES",4250732,2984354,5517110,33.4,"CAUTION","YES",1273428,439791,2107065,"0%","0%","0%"
"FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",21.7,"YES","YES",1406559,808321,2004796,13.5,"YES","YES",5929238,4360361,7498114,20.2,"YES","YES",1634991,987666,2282317,"0%","0%","0%"
"FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","ATLANTIC MACKEREL","ANNUAL",28.7,"YES","YES",1196253,523337,1869169,21.9,"YES","YES",6059104,3458294,8659914,27,"YES","YES",880558,414567,1346549,"0%","0%","0%"
