"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS"
1989,4870483,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1990,3230544,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1991,3493575,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1992,3171674,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1993,5115481,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1994,2987294,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1995,4309452,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1996,7242281,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1997,6011253,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1998,1289352,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
1999,1098551,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2000,4505980,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2001,6367680,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2002,5633728,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2003,5725417,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2004,3396299,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2005,3565149,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2006,2699267,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2007,3500718,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2008,3576832,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2009,5629227,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2010,8199456,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2011,3373707,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2012,7248735,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2013,5732523,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2014,7694210,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2015,9400715,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2016,12200258,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2017,11851001,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2018,7903829,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2019,8450036,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2020,8371167,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2021,11215198,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2022,7774143,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2023,6811015,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
2024,5177886,"Recreational","Socioeconomic","total_recreational_landings_lbs","lbs"
