"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS"
1989,328185,"Recreational","Socioeconomic","rec_trips","n"
1990,348976,"Recreational","Socioeconomic","rec_trips","n"
1991,250350.7,"Recreational","Socioeconomic","rec_trips","n"
1992,323687.1,"Recreational","Socioeconomic","rec_trips","n"
1993,397220.4,"Recreational","Socioeconomic","rec_trips","n"
1994,340540,"Recreational","Socioeconomic","rec_trips","n"
1995,364435,"Recreational","Socioeconomic","rec_trips","n"
1996,364302,"Recreational","Socioeconomic","rec_trips","n"
1997,521681.5,"Recreational","Socioeconomic","rec_trips","n"
1998,136390.7,"Recreational","Socioeconomic","rec_trips","n"
1999,233598,"Recreational","Socioeconomic","rec_trips","n"
2000,373110,"Recreational","Socioeconomic","rec_trips","n"
2001,447759,"Recreational","Socioeconomic","rec_trips","n"
2002,457155.1,"Recreational","Socioeconomic","rec_trips","n"
2003,463278,"Recreational","Socioeconomic","rec_trips","n"
2004,269853,"Recreational","Socioeconomic","rec_trips","n"
2005,434848.7,"Recreational","Socioeconomic","rec_trips","n"
2006,457052,"Recreational","Socioeconomic","rec_trips","n"
2007,676719,"Recreational","Socioeconomic","rec_trips","n"
2008,495428,"Recreational","Socioeconomic","rec_trips","n"
2009,870738,"Recreational","Socioeconomic","rec_trips","n"
2010,1095333,"Recreational","Socioeconomic","rec_trips","n"
2011,454214,"Recreational","Socioeconomic","rec_trips","n"
2012,697535.6,"Recreational","Socioeconomic","rec_trips","n"
2013,664322.1,"Recreational","Socioeconomic","rec_trips","n"
2014,827577.4,"Recreational","Socioeconomic","rec_trips","n"
2015,1263485.5,"Recreational","Socioeconomic","rec_trips","n"
2016,1102005,"Recreational","Socioeconomic","rec_trips","n"
2017,1153189,"Recreational","Socioeconomic","rec_trips","n"
2018,1159492.3,"Recreational","Socioeconomic","rec_trips","n"
2019,1367989,"Recreational","Socioeconomic","rec_trips","n"
2020,1582995.5,"Recreational","Socioeconomic","rec_trips","n"
2021,1642972.5,"Recreational","Socioeconomic","rec_trips","n"
2022,1591714.3,"Recreational","Socioeconomic","rec_trips","n"
2023,1487630,"Recreational","Socioeconomic","rec_trips","n"
2024,1360922,"Recreational","Socioeconomic","rec_trips","n"
